--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
181,4,Sep 17 2016,6:00 PM,Sat,Eastern Michigan,37,@,Charlotte,19,Jerry Richardson Stadium - Charlotte North Carolina
182,4,Sep 17 2016,7:30 PM,Sat,(23) Florida,32,,North Texas,0,Ben Hill Griffin Stadium - Gainesville Florida
183,4,Sep 17 2016,7:30 PM,Sat,(16) Georgia,28,@,Missouri,27,Faurot Field - Columbia Missouri
184,4,Sep 17 2016,6:00 PM,Sat,Georgia Southern,23,,Louisiana-Monroe,21,Allen E. Paulson Stadium - Statesboro Georgia
185,4,Sep 17 2016,12:30 PM,Sat,Georgia Tech,38,,Vanderbilt,7,Bobby Dodd Stadium - Atlanta Georgia
186,4,Sep 17 2016,4:00 AM,Sat,Jacksonville State,27,,Coastal Carolina,26,
187,4,Sep 17 2016,2:30 PM,Sat,Kansas State,63,,Florida Atlantic,7,Bill Snyder Family Football Stadium - Manhattan Kansas
188,4,Sep 17 2016,3:30 PM,Sat,Kent State,27,,Monmouth,7,Dix Stadium - Kent Ohio
189,4,Sep 17 2016,4:00 PM,Sat,Kentucky,62,,New Mexico State,42,Commonwealth Stadium - Lexington Kentucky
190,4,Sep 17 2016,7:00 PM,Sat,Louisiana,28,,South Alabama,23,Cajun Field - Lafayette Louisiana
191,4,Sep 17 2016,7:00 PM,Sat,(20) Louisiana State,23,,Mississippi State,20,Tiger Stadium - Baton Rouge Louisiana
192,4,Sep 17 2016,12:00 PM,Sat,(10) Louisville,63,,(2) Florida State,20,Papa John's Cardinal Stadium - Louisville Kentucky
193,4,Sep 17 2016,7:00 PM,Sat,Maryland,30,@,Central Florida,24,Bright House Networks Stadium - Orlando Florida
194,4,Sep 17 2016,3:30 PM,Sat,Massachusetts,21,,Florida International,13,Warren McGuirk Alumni Stadium - Amherst Massachusetts
195,4,Sep 17 2016,12:00 PM,Sat,Memphis,43,,Kansas,7,Liberty Bowl Memorial Stadium - Memphis Tennessee
196,4,Sep 17 2016,12:00 PM,Sat,(25) Miami (FL),45,@,Appalachian State,10,Kidd Brewer Stadium - Boone North Carolina
197,4,Sep 17 2016,3:30 PM,Sat,(4) Michigan,45,,Colorado,28,Michigan Stadium - Ann Arbor Michigan
198,4,Sep 17 2016,7:30 PM,Sat,(12) Michigan State,36,@,(18) Notre Dame,28,Notre Dame Stadium - South Bend Indiana
199,4,Sep 17 2016,12:00 PM,Sat,Middle Tennessee State,41,@,Bowling Green,21,Doyt L. Perry Stadium - Bowling Green Ohio
200,4,Sep 17 2016,7:00 PM,Sat,Navy,21,@,Tulane,14,Yulman Stadium - New Orleans Louisiana
201,4,Sep 17 2016,3:30 PM,Sat,Nebraska,35,,(22) Oregon,32,Memorial Stadium - Lincoln Nebraska
202,4,Sep 17 2016,9:00 PM,Sat,Nevada,38,,Buffalo,14,MacKay Stadium - Reno Nevada
203,4,Sep 17 2016,3:30 PM,Sat,North Carolina,56,,James Madison,28,Kenan Memorial Stadium - Chapel Hill North Carolina
204,4,Sep 17 2016,6:00 PM,Sat,North Carolina State,49,,Old Dominion,22,Carter Finley Stadium - Raleigh North Carolina
205,4,Sep 17 2016,12:00 PM,Sat,North Dakota State,23,@,(13) Iowa,21,Kinnick Stadium - Iowa City Iowa
206,4,Sep 17 2016,8:00 PM,Sat,Northwestern,24,,Duke,13,Ryan Field - Evanston Illinois
207,4,Sep 17 2016,9:10 PM,Sat,(3) Ohio State,45,@,(14) Oklahoma,24,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
208,4,Sep 17 2016,3:30 PM,Sat,Oklahoma State,45,,Pittsburgh,38,Boone Pickens Stadium - Stillwater Oklahoma
209,4,Sep 17 2016,5:00 PM,Sat,Oregon State,37,,Idaho State,7,Reser Stadium - Corvallis Oregon
210,4,Sep 17 2016,12:00 PM,Sat,Penn State,34,,Temple,27,Beaver Stadium - University Park Pennsylvania
211,4,Sep 17 2016,12:00 PM,Sat,Rutgers,37,,New Mexico,28,High Points Solutions Stadium - Piscataway New Jersey
212,4,Sep 17 2016,3:30 PM,Sat,San Diego State,42,@,Northern Illinois,28,Huskie Stadium - DeKalb Illinois
213,4,Sep 17 2016,4:00 PM,Sat,South Carolina,20,,East Carolina,15,Williams-Brice Stadium - Columbia South Carolina
214,4,Sep 17 2016,3:30 PM,Sat,South Florida,45,@,Syracuse,20,Carrier Dome - Syracuse New York
215,4,Sep 17 2016,7:00 PM,Sat,Southern Methodist,29,,Liberty,14,Gerald J. Ford Stadium - Dallas Texas
