--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
873,19,Dec 30 2017,12:30 PM,Sat,Iowa State,21,@,(19) Memphis,20,Liberty Bowl (Liberty Bowl Memorial Stadium - Memphis Tennessee)
874,19,Dec 30 2017,12:00 PM,Sat,(24) Mississippi State,31,N,Louisville,27,TaxSlayer Bowl (EverBank Field - Jacksonville Florida)
875,19,Dec 30 2017,4:00 PM,Sat,(9) Penn State,35,N,(12) Washington,28,Fiesta Bowl (University of Phoenix Stadium - Glendale Arizona)
876,19,Dec 30 2017,8:00 PM,Sat,(6) Wisconsin,34,@,(11) Miami (FL),24,Orange Bowl (Hard Rock Stadium - Miami Gardens Florida)
877,20,Jan 1 2018,8:45 PM,Mon,(4) Alabama,24,N,(1) Clemson,6,Sugar Bowl (Mercedes-Benz Superdome - New Orleans Louisiana)
878,20,Jan 1 2018,12:30 PM,Mon,(10) Central Florida,34,N,(7) Auburn,27,Peach Bowl (Mercedes-Benz Stadium - Atlanta Georgia)
879,20,Jan 1 2018,5:00 PM,Mon,(3) Georgia,54,N,(2) Oklahoma,48,Rose Bowl (Rose Bowl - Pasadena California)
880,20,Jan 1 2018,1:00 PM,Mon,(14) Notre Dame,21,N,(16) Louisiana State,17,Citrus Bowl (Camping World Stadium - Orlando Florida)
881,20,Jan 1 2018,12:00 PM,Mon,South Carolina,26,N,Michigan,19,Outback Bowl (Raymond James Stadium - Tampa Florida)
882,21,Jan 8 2018,8:00 PM,Mon,(4) Alabama,26,N,(3) Georgia,23,College Football Playoff National Championship (Mercedes-Benz Stadium - Atlanta Georgia)
