Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2007-09-15,2007,R,,tennessee,florida,A,20,59,0,22.0,5.0
2007-09-15,2007,R,,florida-atlantic,minnesota,H,42,39,0,,
2007-09-15,2007,R,,minnesota,florida-atlantic,A,39,42,0,,
2007-09-15,2007,R,,florida-state,colorado,A,16,6,0,,
2007-09-15,2007,R,,colorado,florida-state,H,6,16,0,,
2007-09-15,2007,R,,georgia,western-carolina,H,45,16,0,23.0,
2007-09-15,2007,R,,western-carolina,georgia,A,16,45,0,,23.0
2007-09-15,2007,R,,hawaii,nevada-las-vegas,A,49,14,0,24.0,
2007-09-15,2007,R,,nevada-las-vegas,hawaii,H,14,49,0,,24.0
2007-09-15,2007,R,,houston,tulane,A,34,10,0,,
2007-09-15,2007,R,,tulane,houston,H,10,34,0,,
2007-09-15,2007,R,,illinois,syracuse,A,41,20,0,,
2007-09-15,2007,R,,syracuse,illinois,H,20,41,0,,
2007-09-15,2007,R,,indiana,akron,H,41,24,0,,
2007-09-15,2007,R,,akron,indiana,A,24,41,0,,
2007-09-15,2007,R,,iowa-state,iowa,H,15,13,0,,
2007-09-15,2007,R,,iowa,iowa-state,A,13,15,0,,
2007-09-15,2007,R,,kansas,toledo,H,45,13,0,,
2007-09-15,2007,R,,toledo,kansas,A,13,45,0,,
2007-09-15,2007,R,,kansas-state,missouri-state,H,61,10,0,,
2007-09-15,2007,R,,missouri-state,kansas-state,A,10,61,0,,
2007-09-15,2007,R,,kent-state,delaware-state,H,38,7,0,,
2007-09-15,2007,R,,delaware-state,kent-state,A,7,38,0,,
2007-09-15,2007,R,,kentucky,louisville,H,40,34,0,,9.0
2007-09-15,2007,R,,louisville,kentucky,A,34,40,0,9.0,
2007-09-15,2007,R,,louisiana-state,middle-tennessee-state,H,44,0,0,2.0,
2007-09-15,2007,R,,middle-tennessee-state,louisiana-state,A,0,44,0,,2.0
2007-09-15,2007,R,,mcneese-state,louisiana,A,38,17,0,,
2007-09-15,2007,R,,louisiana,mcneese-state,H,17,38,0,,
2007-09-15,2007,R,,memphis,jacksonville-state,H,35,14,0,,
2007-09-15,2007,R,,jacksonville-state,memphis,A,14,35,0,,
2007-09-15,2007,R,,miami-fl,florida-international,H,23,9,0,,
2007-09-15,2007,R,,florida-international,miami-fl,A,9,23,0,,
2007-09-15,2007,R,,michigan,notre-dame,H,38,0,0,,
