source_file,window_title,team_name,dest
sportsref_download (19).xls,1995-96 Campbell Fighting Camels Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Campbell Fighting,Campbell_Fighting.xls
sportsref_download (19).xls,1995-96 Cornell Big Red Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Cornell Big,Cornell_Big.xls
sportsref_download (19).xls,1995-96 Columbia Lions Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Columbia,Columbia.xls
sportsref_download (19).xls,1995-96 Dartmouth Big Green Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Dartmouth Big,Dartmouth_Big.xls
sportsref_download (19).xls,1995-96 Delaware Fightin' Blue Hens Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Delaware Fightin' Blue,Delaware_Fightin_Blue.xls
sportsref_download (19).xls,1995-96 Delaware State Hornets Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Delaware State,Delaware_State.xls
sportsref_download (19).xls,1995-96 ETSU Buccaneers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,ETSU,ETSU.xls
sportsref_download (19).xls,1995-96 Eastern Illinois Panthers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Eastern Illinois,Eastern_Illinois.xls
sportsref_download (19).xls,1995-96 FDU Knights Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,FDU,FDU.xls
sportsref_download (19).xls,1995-96 Gonzaga Bulldogs Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Gonzaga,Gonzaga.xls
sportsref_download (19).xls,1995-96 Hofstra Pride Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Hofstra,Hofstra_dup1785041574.xls
sportsref_download (19).xls,1995-96 Hawaii Rainbow Warriors Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Hawaii Rainbow,Hawaii_Rainbow.xls
sportsref_download (19).xls,1995-96 Iona Gaels Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Iona,Iona.xls
sportsref_download (19).xls,1995-96 Indiana State Sycamores Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Indiana State,Indiana_State.xls
sportsref_download (19).xls,1995-96 Illinois State Redbirds Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Illinois State,Illinois_State.xls
sportsref_download (19).xls,1995-96 Jacksonville State Gamecocks Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Jacksonville State,Jacksonville_State.xls
sportsref_download (19).xls,1995-96 Jacksonville Dolphins Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Jacksonville,Jacksonville.xls
sportsref_download (19).xls,1995-96 Kent State Golden Flashes Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Kent State Golden,Kent_State_Golden.xls
sportsref_download (19).xls,1995-96 Louisiana Ragin' Cajuns Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Louisiana Ragin',Louisiana_Ragin.xls
sportsref_download (19).xls,1995-96 Louisiana–Monroe Warhawks Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Louisiana–Monroe,LouisianaMonroe.xls
sportsref_download (19).xls,1995-96 Louisiana Tech Bulldogs Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Louisiana Tech,Louisiana_Tech.xls
sportsref_download (19).xls,1995-96 Liberty Flames Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Liberty,Liberty.xls
sportsref_download (19).xls,1995-96 Lafayette Leopards Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Lafayette,Lafayette.xls
